molecule_chembl_id,bioactivity_class
CHEMBL435831,inactive
CHEMBL3622639,active
CHEMBL3913728,active
CHEMBL3948084,active
CHEMBL5182567,active
CHEMBL3908272,active
CHEMBL296168,active
CHEMBL5573028,active
CHEMBL5920148,active
CHEMBL3946396,active
CHEMBL4288262,active
CHEMBL3752825,active
CHEMBL1241490,active
CHEMBL5850600,active
CHEMBL3981551,active
CHEMBL4079393,active
CHEMBL5996357,active
CHEMBL5182465,active
CHEMBL5281270,active
CHEMBL59812,inactive
CHEMBL6008669,active
CHEMBL1172602,inactive
CHEMBL5968640,active
CHEMBL6058583,active
CHEMBL126192,active
CHEMBL5990188,active
CHEMBL1821889,inactive
CHEMBL2048912,active
CHEMBL3671545,active
CHEMBL5874033,active
CHEMBL3948546,inactive
CHEMBL3671518,active
CHEMBL5187762,active
CHEMBL3360613,active
CHEMBL343352,active
CHEMBL234772,active
CHEMBL4225781,active
CHEMBL3233779,active
CHEMBL3986363,active
CHEMBL5290094,active
CHEMBL1091613,active
CHEMBL4758107,active
CHEMBL1914661,active
CHEMBL31815,active
CHEMBL437879,active
CHEMBL2029695,inactive
CHEMBL1828862,active
CHEMBL2337364,inactive
CHEMBL4873202,active
CHEMBL5740396,active
CHEMBL5960969,inactive
CHEMBL4078431,active
CHEMBL343722,active
CHEMBL5771859,active
CHEMBL2325106,active
CHEMBL5996683,active
CHEMBL5982032,active
CHEMBL5896195,active
CHEMBL1830231,active
CHEMBL1242661,inactive
CHEMBL4102455,active
CHEMBL4061382,active
CHEMBL3355890,active
CHEMBL3671552,active
CHEMBL3671553,active
CHEMBL3671551,active
CHEMBL5854828,active
CHEMBL246493,active
CHEMBL4471845,active
CHEMBL5903077,active
CHEMBL5753909,active
CHEMBL4288482,active
CHEMBL5590689,active
CHEMBL1641997,inactive
CHEMBL4082840,active
CHEMBL56502,active
CHEMBL128000,inactive
CHEMBL376967,active
CHEMBL3622642,active
CHEMBL6040634,active
CHEMBL5852886,active
CHEMBL3676369,active
CHEMBL3416630,active
CHEMBL246491,active
CHEMBL265367,active
CHEMBL5880020,active
CHEMBL5270506,active
CHEMBL2179128,active
CHEMBL5984973,active
CHEMBL155389,inactive
CHEMBL3787386,active
CHEMBL5077378,active
CHEMBL5930652,active
CHEMBL5887634,active
CHEMBL5571836,active
CHEMBL5816684,active
CHEMBL5995066,active
CHEMBL4650319,active
CHEMBL5188948,active
CHEMBL6060281,active
CHEMBL3639703,active
CHEMBL1944923,inactive
CHEMBL5789149,active
CHEMBL3814878,active
CHEMBL5283543,active
CHEMBL5950819,active
CHEMBL5796215,active
CHEMBL19978,inactive
CHEMBL4173696,active
CHEMBL3965391,active
CHEMBL6064016,active
CHEMBL5993587,active
CHEMBL3786647,active
CHEMBL4278226,active
CHEMBL4215397,active
CHEMBL5276251,active
CHEMBL4873984,active
CHEMBL4853833,active
CHEMBL5851856,active
CHEMBL4102886,active
CHEMBL40734,active
CHEMBL140561,active
CHEMBL3085376,active
CHEMBL4572315,active
CHEMBL6011269,active
CHEMBL4576032,active
CHEMBL39320,active
CHEMBL5169943,active
CHEMBL1093234,active
CHEMBL185637,active
CHEMBL5933810,active
CHEMBL554,active
CHEMBL4103912,active
CHEMBL6001620,active
CHEMBL3699618,active
CHEMBL1947127,active
CHEMBL4214588,active
CHEMBL5555311,active
CHEMBL212965,active
CHEMBL3671495,active
CHEMBL520515,inactive
CHEMBL2348418,active
CHEMBL387265,active
CHEMBL442754,active
CHEMBL4216025,inactive
CHEMBL5595805,active
CHEMBL5619771,active
CHEMBL5272853,active
CHEMBL4751362,active
CHEMBL5775870,active
CHEMBL272935,active
CHEMBL4128726,active
CHEMBL5744155,active
CHEMBL1934621,active
CHEMBL4226436,active
CHEMBL121796,active
CHEMBL392664,active
CHEMBL404849,active
CHEMBL3219134,active
CHEMBL5397162,active
CHEMBL5405276,active
CHEMBL5876660,active
CHEMBL5903491,active
CHEMBL4278815,active
CHEMBL3818289,active
CHEMBL1090356,active
CHEMBL5746567,active
CHEMBL414220,active
CHEMBL4067014,active
CHEMBL5631951,active
CHEMBL592141,inactive
CHEMBL5646609,active
CHEMBL127041,active
CHEMBL455433,active
CHEMBL5972110,active
CHEMBL5795375,active
CHEMBL6014011,active
CHEMBL4204139,active
CHEMBL3344216,active
CHEMBL3344221,active
CHEMBL3344208,active
CHEMBL162622,active
CHEMBL1947126,active
CHEMBL3360619,active
CHEMBL5864713,active
CHEMBL3919271,active
CHEMBL592713,active
CHEMBL80302,active
CHEMBL363607,inactive
CHEMBL1956891,inactive
CHEMBL3764603,active
CHEMBL212954,active
CHEMBL385479,active
CHEMBL1093815,active
CHEMBL3942228,active
CHEMBL5866027,active
CHEMBL428690,inactive
CHEMBL6002504,active
CHEMBL380078,active
CHEMBL3775285,active
CHEMBL2437465,active
CHEMBL5759248,active
CHEMBL125086,active
CHEMBL5876051,active
CHEMBL118904,active
CHEMBL2420867,active
CHEMBL134312,active
CHEMBL5414141,active
CHEMBL3924500,active
CHEMBL5430071,active
CHEMBL5271284,active
CHEMBL1242288,inactive
CHEMBL6049268,active
CHEMBL3758749,active
CHEMBL3734933,active
CHEMBL2178351,active
CHEMBL3671500,active
CHEMBL446250,active
CHEMBL5864620,active
CHEMBL4475770,active
CHEMBL5186794,active
CHEMBL3985134,active
CHEMBL5438475,active
CHEMBL162508,active
CHEMBL3699588,active
CHEMBL4281367,active
CHEMBL5401619,active
CHEMBL5822356,active
CHEMBL6058403,active
CHEMBL5559904,inactive
CHEMBL1243284,active
CHEMBL5939106,active
CHEMBL5908975,active
CHEMBL6050763,active
CHEMBL153843,inactive
CHEMBL92731,active
CHEMBL4521028,active
CHEMBL4129138,active
CHEMBL4126810,active
CHEMBL57758,active
CHEMBL431001,inactive
CHEMBL5969707,active
CHEMBL5431658,active
CHEMBL589831,active
CHEMBL4070404,active
CHEMBL1934631,active
CHEMBL5949708,active
CHEMBL427671,active
CHEMBL293986,inactive
CHEMBL3663928,active
CHEMBL2437479,active
CHEMBL169390,active
CHEMBL5434109,active
CHEMBL3786962,active
CHEMBL5953169,active
CHEMBL3699590,active
CHEMBL3674151,active
CHEMBL5557998,inactive
CHEMBL2347964,active
CHEMBL4529183,active
CHEMBL2029693,inactive
CHEMBL2437468,active
CHEMBL3219131,active
CHEMBL3946259,active
CHEMBL4228473,active
CHEMBL5763277,active
CHEMBL184750,active
CHEMBL3671509,active
CHEMBL52015,active
CHEMBL5076881,active
CHEMBL4459564,inactive
CHEMBL5831823,active
CHEMBL4755988,active
CHEMBL5633818,active
CHEMBL3741304,active
CHEMBL5402235,active
CHEMBL3736121,active
CHEMBL461795,active
CHEMBL5412305,active
CHEMBL5395404,active
CHEMBL3347487,active
CHEMBL233324,active
CHEMBL4746030,active
CHEMBL4581316,active
CHEMBL6033348,active
CHEMBL5419520,active
CHEMBL5406951,active
CHEMBL5915264,active
CHEMBL4207984,active
CHEMBL5208825,active
CHEMBL3612587,active
CHEMBL4212450,active
CHEMBL6023442,active
CHEMBL5904700,active
CHEMBL5178703,active
CHEMBL5181694,active
CHEMBL5170965,active
CHEMBL5176854,active
CHEMBL90595,active
CHEMBL5517918,active
CHEMBL5568213,active
CHEMBL6023885,active
CHEMBL57990,active
CHEMBL5953946,active
CHEMBL250524,active
CHEMBL133024,active
CHEMBL251497,active
CHEMBL2425087,active
CHEMBL4159404,active
CHEMBL3977192,active
CHEMBL4553504,active
CHEMBL6000647,active
CHEMBL170724,active
CHEMBL1914672,active
CHEMBL4749518,active
CHEMBL3895411,active
CHEMBL3751967,active
CHEMBL5563305,active
CHEMBL5401705,active
CHEMBL3608433,active
CHEMBL299707,inactive
CHEMBL165864,active
CHEMBL2105719,active
CHEMBL21108,inactive
CHEMBL3759280,active
CHEMBL5558514,active
CHEMBL4447196,active
CHEMBL1173397,inactive
CHEMBL5556861,active
CHEMBL4227091,active
CHEMBL118321,inactive
CHEMBL3975699,active
CHEMBL4280993,active
CHEMBL4531250,active
CHEMBL1242026,active
CHEMBL1098120,active
CHEMBL3957025,active
CHEMBL4789796,active
CHEMBL5836601,active
CHEMBL5807906,active
CHEMBL4210550,active
CHEMBL5912353,active
CHEMBL4648271,active
CHEMBL3290142,active
CHEMBL3671491,active
CHEMBL91867,active
CHEMBL5417458,active
CHEMBL121954,active
CHEMBL1173713,inactive
CHEMBL4083486,active
CHEMBL3797963,active
CHEMBL6000385,active
CHEMBL592457,active
CHEMBL14932,active
CHEMBL5287229,active
CHEMBL3929584,active
CHEMBL1821871,active
CHEMBL4060103,active
CHEMBL433205,active
CHEMBL6063800,active
CHEMBL14627,active
CHEMBL497459,active
CHEMBL4746321,active
CHEMBL3671571,active
CHEMBL5826541,active
CHEMBL2381511,active
CHEMBL1271561,active
CHEMBL265629,active
CHEMBL4206501,active
CHEMBL3753811,active
CHEMBL5810396,active
CHEMBL498134,active
CHEMBL257861,active
CHEMBL4793852,active
CHEMBL5920538,active
CHEMBL4447982,active
CHEMBL157304,inactive
CHEMBL250923,active
CHEMBL5851917,active
CHEMBL3774926,active
CHEMBL5181487,active
CHEMBL5204446,active
CHEMBL4229213,active
CHEMBL6034048,active
CHEMBL4210100,active
CHEMBL51265,active
CHEMBL6027049,active
CHEMBL5857449,active
CHEMBL5199166,active
CHEMBL6048492,active
CHEMBL5850696,active
CHEMBL5413423,active
CHEMBL5931729,active
CHEMBL332906,active
CHEMBL136674,active
CHEMBL5785108,active
CHEMBL4855312,active
CHEMBL1821879,inactive
CHEMBL5440766,active
CHEMBL3904205,active
CHEMBL5556316,inactive
CHEMBL3647418,active
CHEMBL91,inactive
CHEMBL1828878,inactive
CHEMBL5985094,active
CHEMBL363815,active
CHEMBL5950429,active
CHEMBL154969,inactive
CHEMBL1956892,inactive
CHEMBL4079768,active
CHEMBL4752492,active
CHEMBL3612570,active
CHEMBL5950050,active
CHEMBL5962642,active
CHEMBL470003,active
CHEMBL5218780,active
CHEMBL4552429,active
CHEMBL6012240,active
CHEMBL6001160,active
CHEMBL3092310,active
CHEMBL5193772,active
CHEMBL2336359,inactive
CHEMBL258282,active
CHEMBL3671575,active
CHEMBL4203110,active
CHEMBL5204954,active
CHEMBL1242112,active
CHEMBL2029437,active
CHEMBL5594128,active
CHEMBL598163,active
CHEMBL6064756,active
CHEMBL3765263,active
CHEMBL352801,active
CHEMBL175101,active
CHEMBL56393,active
CHEMBL3671481,active
CHEMBL5857367,active
CHEMBL5755194,active
CHEMBL257430,active
CHEMBL4448148,active
CHEMBL196548,active
CHEMBL3114688,active
CHEMBL1203939,active
CHEMBL289162,active
CHEMBL4795165,active
CHEMBL473553,active
CHEMBL113070,active
CHEMBL5892248,active
CHEMBL3754213,active
CHEMBL4282543,active
CHEMBL304271,active
CHEMBL67057,active
CHEMBL3970399,active
CHEMBL57759,active
CHEMBL4753700,active
CHEMBL592480,active
CHEMBL3608430,active
CHEMBL330323,active
CHEMBL1172781,active
CHEMBL243628,active
CHEMBL5844686,active
CHEMBL162821,active
CHEMBL6051041,active
CHEMBL157128,active
CHEMBL80540,active
CHEMBL5770089,active
CHEMBL3961848,active
CHEMBL4064937,active
CHEMBL4579805,active
CHEMBL6034266,active
CHEMBL4165267,active
CHEMBL1090357,active
CHEMBL6006209,active
CHEMBL10,inactive
CHEMBL5946635,active
CHEMBL5199106,active
CHEMBL5208737,active
CHEMBL3967219,active
CHEMBL93181,active
CHEMBL4079566,active
CHEMBL293584,active
CHEMBL3947406,active
CHEMBL5814864,active
CHEMBL4530170,active
CHEMBL4785849,active
CHEMBL4858583,active
CHEMBL583683,active
CHEMBL6046213,active
CHEMBL6047706,active
CHEMBL76905,inactive
CHEMBL4175782,active
CHEMBL5180251,active
CHEMBL4286318,active
CHEMBL4212326,active
CHEMBL5897021,active
CHEMBL307062,active
CHEMBL3297894,active
CHEMBL36819,active
CHEMBL5591496,active
CHEMBL116308,active
CHEMBL5767398,inactive
CHEMBL3671580,active
CHEMBL377772,active
CHEMBL422531,inactive
CHEMBL5630690,active
CHEMBL5416719,active
CHEMBL153206,active
CHEMBL76432,active
CHEMBL5745328,active
CHEMBL5186362,active
CHEMBL3923551,active
CHEMBL5408586,active
CHEMBL2347972,active
CHEMBL5763337,active
CHEMBL1933083,active
CHEMBL3237938,inactive
CHEMBL1645476,active
CHEMBL5181237,active
CHEMBL4098500,active
CHEMBL137364,active
CHEMBL122243,active
CHEMBL3805859,active
CHEMBL129579,active
CHEMBL5172236,active
CHEMBL4540442,active
CHEMBL300491,active
CHEMBL5284179,active
CHEMBL263528,active
CHEMBL81375,active
CHEMBL538814,active
CHEMBL4540303,active
CHEMBL53555,active
CHEMBL4745195,active
CHEMBL3753208,active
CHEMBL444724,active
CHEMBL1242752,inactive
CHEMBL5276760,active
CHEMBL5290595,active
CHEMBL4067855,active
CHEMBL215033,active
CHEMBL245277,active
CHEMBL394495,active
CHEMBL3680375,active
CHEMBL4245874,active
CHEMBL5185864,active
CHEMBL5847902,active
CHEMBL73820,inactive
CHEMBL1830264,inactive
CHEMBL5773114,active
CHEMBL5755291,active
CHEMBL5749405,active
CHEMBL5281203,active
CHEMBL3760082,active
CHEMBL3233788,active
CHEMBL6017494,active
CHEMBL5760659,active
CHEMBL5957231,active
CHEMBL3699612,active
CHEMBL515401,active
CHEMBL2381508,active
CHEMBL3622632,active
CHEMBL5422383,active
CHEMBL5631610,active
CHEMBL4792967,active
CHEMBL6015337,active
CHEMBL6026303,active
CHEMBL4463563,active
CHEMBL4850856,active
CHEMBL4303382,active
CHEMBL5896727,active
CHEMBL2425083,active
CHEMBL5188281,active
CHEMBL4848234,active
CHEMBL1914666,active
CHEMBL2408829,active
CHEMBL311119,inactive
CHEMBL51028,active
CHEMBL4104658,active
CHEMBL5950802,active
CHEMBL3416624,active
CHEMBL5894911,active
CHEMBL1945644,inactive
CHEMBL5404368,active
CHEMBL2425736,active
CHEMBL5821349,active
CHEMBL3622641,active
CHEMBL57892,active
CHEMBL5590430,active
CHEMBL5558549,active
CHEMBL6036276,active
CHEMBL5870500,active
CHEMBL1172957,inactive
CHEMBL2437488,active
CHEMBL4870265,active
CHEMBL596964,active
CHEMBL332971,active
CHEMBL3098313,inactive
CHEMBL5816313,active
CHEMBL5592391,active
CHEMBL5561612,active
CHEMBL3933539,active
CHEMBL4281426,active
CHEMBL5925024,active
CHEMBL152984,active
CHEMBL2064395,active
CHEMBL5767790,active
CHEMBL4449391,active
CHEMBL3959248,active
CHEMBL205765,active
CHEMBL91980,active
CHEMBL4576802,active
CHEMBL1241861,inactive
CHEMBL5406771,active
CHEMBL5559071,active
CHEMBL6032873,active
CHEMBL4066569,active
CHEMBL1744086,active
CHEMBL1788321,active
CHEMBL5847747,active
CHEMBL5200637,active
CHEMBL3671517,active
CHEMBL5440559,active
CHEMBL5423938,active
CHEMBL5750469,active
CHEMBL4208829,active
CHEMBL4097862,active
CHEMBL3357653,active
CHEMBL3357652,active
CHEMBL5885178,active
CHEMBL4462971,active
CHEMBL5858630,active
CHEMBL5930490,active
CHEMBL93423,active
CHEMBL111038,active
CHEMBL3699620,active
CHEMBL5191674,active
CHEMBL193368,active
CHEMBL399372,active
CHEMBL5805507,active
CHEMBL3233767,active
CHEMBL131577,inactive
CHEMBL475769,active
CHEMBL6035688,active
CHEMBL5785533,active
CHEMBL5270419,active
CHEMBL2385975,active
CHEMBL3970231,active
CHEMBL5944794,active
CHEMBL5565503,active
CHEMBL4060198,active
CHEMBL4788364,active
CHEMBL3622650,active
CHEMBL3752008,active
CHEMBL3671501,active
CHEMBL1821884,inactive
CHEMBL4519305,active
CHEMBL4517633,active
CHEMBL4083642,active
CHEMBL4213609,active
CHEMBL5631544,active
CHEMBL5768939,active
CHEMBL5409736,inactive
CHEMBL553351,active
CHEMBL1830273,inactive
CHEMBL4750196,active
CHEMBL5832595,active
CHEMBL1945646,inactive
CHEMBL5954442,active
CHEMBL5972541,inactive
CHEMBL5817539,active
CHEMBL5396915,active
CHEMBL1171273,inactive
CHEMBL5964110,active
CHEMBL171256,inactive
CHEMBL3622630,active
CHEMBL606027,inactive
CHEMBL4091966,active
CHEMBL5907329,active
CHEMBL307481,inactive
CHEMBL5077901,active
CHEMBL3360614,active
CHEMBL4441404,active
CHEMBL4555707,active
CHEMBL3676390,active
CHEMBL5741712,active
CHEMBL4791108,active
CHEMBL4228120,active
CHEMBL5832966,active
CHEMBL6063908,active
CHEMBL5775729,active
CHEMBL5859805,active
CHEMBL4441745,active
CHEMBL4789312,active
CHEMBL55993,inactive
CHEMBL86326,inactive
CHEMBL290389,active
CHEMBL4294211,active
CHEMBL3935007,active
CHEMBL5750518,active
CHEMBL2070191,active
CHEMBL5813402,active
CHEMBL3335245,inactive
CHEMBL131193,active
CHEMBL3355882,active
CHEMBL5742635,active
CHEMBL5204535,active
CHEMBL5807191,active
CHEMBL3937373,active
CHEMBL4454929,active
CHEMBL5619848,active
CHEMBL2347971,active
CHEMBL7866,active
CHEMBL3622653,active
CHEMBL3961532,active
CHEMBL4250210,active
CHEMBL4747759,active
CHEMBL5978804,active
CHEMBL215559,active
CHEMBL5840304,active
CHEMBL3953921,active
CHEMBL462162,active
CHEMBL3088223,inactive
CHEMBL5279636,active
CHEMBL53299,active
CHEMBL5178571,active
CHEMBL5899957,active
CHEMBL3671582,active
CHEMBL187007,inactive
CHEMBL5828219,active
CHEMBL50245,active
CHEMBL5286080,active
CHEMBL1172951,inactive
CHEMBL3416598,active
CHEMBL5395951,active
CHEMBL243837,active
CHEMBL2334003,active
CHEMBL2335377,inactive
CHEMBL461114,active
CHEMBL3218424,active
CHEMBL5437181,active
CHEMBL4591886,active
CHEMBL2031313,active
CHEMBL4090582,active
CHEMBL3087209,active
CHEMBL5912978,active
CHEMBL65038,active
CHEMBL4759650,active
CHEMBL201511,inactive
CHEMBL589165,inactive
CHEMBL5879127,active
CHEMBL5968167,active
CHEMBL4205688,active
CHEMBL93032,active
CHEMBL3416599,active
CHEMBL3977926,active
CHEMBL5833420,active
CHEMBL5178865,active
CHEMBL3678949,active
CHEMBL3353395,inactive
CHEMBL540082,active
CHEMBL403357,active
CHEMBL5802671,active
CHEMBL5961642,active
CHEMBL5971053,active
CHEMBL495617,inactive
CHEMBL1242470,inactive
CHEMBL448154,active
CHEMBL247916,active
CHEMBL1683972,active
CHEMBL122182,active
CHEMBL4473875,active
CHEMBL1202478,active
CHEMBL5567954,active
CHEMBL5987547,active
CHEMBL67027,active
CHEMBL589825,inactive
CHEMBL4282688,active
CHEMBL5180289,active
CHEMBL3360620,active
CHEMBL5895755,active
CHEMBL332765,active
CHEMBL4878626,active
CHEMBL1243316,active
CHEMBL251291,active
CHEMBL5771047,active
CHEMBL289213,active
CHEMBL5200991,active
CHEMBL5206436,active
CHEMBL5863176,inactive
CHEMBL5798951,active
CHEMBL5779120,active
CHEMBL3085374,active
CHEMBL5078413,active
CHEMBL5192223,active
CHEMBL5786862,active
CHEMBL6024600,active
CHEMBL4293126,active
CHEMBL196018,active
CHEMBL5887896,active
CHEMBL1830130,inactive
CHEMBL214478,active
CHEMBL3416625,active
CHEMBL5176295,active
CHEMBL1172950,inactive
CHEMBL5944318,active
CHEMBL3676373,active
CHEMBL5857090,active
CHEMBL3671504,active
CHEMBL1683969,active
CHEMBL5964212,active
CHEMBL4794857,active
CHEMBL21096,inactive
CHEMBL3699599,active
CHEMBL139095,active
CHEMBL5828421,active
CHEMBL1821873,active
CHEMBL5742722,active
CHEMBL3622636,active
CHEMBL5958646,active
CHEMBL5829030,active
CHEMBL4447976,active
CHEMBL4278886,active
CHEMBL5999776,active
CHEMBL2048910,active
CHEMBL5905455,active
CHEMBL6061803,active
CHEMBL4521506,active
CHEMBL1830265,inactive
CHEMBL3344211,active
CHEMBL2408045,active
CHEMBL504135,inactive
CHEMBL6022365,active
CHEMBL383246,active
CHEMBL419137,active
CHEMBL1958027,inactive
CHEMBL257815,active
CHEMBL5633067,active
CHEMBL5429838,active
CHEMBL3935034,active
CHEMBL3958631,active
CHEMBL544867,active
CHEMBL94431,active
CHEMBL402316,active
CHEMBL608860,active
CHEMBL3085379,active
CHEMBL5872428,active
CHEMBL5979209,active
CHEMBL6026968,active
CHEMBL591051,inactive
CHEMBL5793320,active
CHEMBL4447225,active
CHEMBL225928,active
CHEMBL5289304,active
CHEMBL604094,active
CHEMBL5852751,active
CHEMBL358934,active
CHEMBL5922695,active
CHEMBL257816,active
CHEMBL1914667,active
CHEMBL2087360,active
CHEMBL6054496,active
CHEMBL1173814,active
CHEMBL6058940,active
CHEMBL1821885,inactive
CHEMBL176815,active
CHEMBL2424664,active
CHEMBL5291434,active
CHEMBL31326,active
CHEMBL6026532,active
CHEMBL4067373,active
CHEMBL2424676,active
CHEMBL218677,active
CHEMBL4852264,active
CHEMBL3221556,active
CHEMBL5758176,active
CHEMBL5821647,active
CHEMBL5584189,active
CHEMBL5400539,active
CHEMBL5289358,active
CHEMBL5208416,active
CHEMBL3754057,active
CHEMBL1241301,inactive
CHEMBL3903249,active
CHEMBL3903870,active
CHEMBL5871879,active
CHEMBL4282460,active
CHEMBL3926223,active
CHEMBL3894726,active
CHEMBL5189711,active
CHEMBL3923650,active
CHEMBL2335019,inactive
CHEMBL24026,active
CHEMBL3357651,active
CHEMBL3357650,active
CHEMBL3818547,active
CHEMBL3086103,active
CHEMBL4077973,active
CHEMBL1645474,active
CHEMBL5744898,active
CHEMBL4591327,active
CHEMBL31588,active
