compound,predicted_pchembl,experimental_pchembl,max_tanimoto_to_train,inside_AD,predicted_class,smiles
CHEMBL1290177,5.93,6.3,0.367,False,intermediate,Clc1ccc(CNc2ccnc3oc4ccccc4c23)cc1
CHEMBL4211341,5.913,6.03,0.265,False,intermediate,O=[N+]([O-])c1cccc(CNc2ccnc3oc4ccc([N+](=O)[O-])cc4c23)c1
CHEMBL2437292,5.907,5.24,0.263,False,intermediate,N=c1scc(-c2ccc(Cl)cc2)n1CC(=O)N1CCN(c2ccccc2)CC1
CHEMBL3736181,5.907,7.24,1.0,True,intermediate,CO[C@H]1CCN(c2nccc(Nc3cc4c(cn3)nc(CO)n4C(C)C)n2)C[C@@H]1F
CHEMBL4208649,5.905,6.17,0.287,False,intermediate,O=[N+]([O-])c1ccc2oc3nccc(NCc4cccc(Br)c4)c3c2c1
CHEMBL3780553,5.902,7.43,0.286,False,intermediate,CN1CCN(c2ccc(NC(=O)c3c(NCCc4ccc(Cl)cc4)cc[nH]c3=O)cc2)CC1
CHEMBL3735782,5.898,7.42,0.465,True,intermediate,Cc1nc2cnc(Nc3ccnc(NCC(C)(C)S(C)(=O)=O)n3)cc2n1C(C)C
CHEMBL4072687,5.883,5.22,0.301,False,intermediate,COc1ccc(CNc2nc(N)nc3[nH]c4cc(C)c(O)cc4c23)cc1
CHEMBL3736395,5.878,7.62,0.697,True,intermediate,COC1(CO)CCN(c2nccc(Nc3cc4c(cn3)nc(C)n4C(C)C)n2)CC1
CHEMBL4217693,5.876,6.5,0.343,False,intermediate,COc1cccc(CNc2ccnc3[nH]c4ccc(N)cc4c23)c1
CHEMBL4080640,5.868,7.05,0.301,False,intermediate,Cc1ccc(CNc2nc(N)nc3[nH]c4ccc(O)cc4c23)cc1
CHEMBL4204320,5.867,5.45,0.255,False,intermediate,Nc1cccc(CNc2ccnc3oc4ccc([N+](=O)[O-])cc4c23)c1
CHEMBL4213049,5.861,5.87,0.29,False,intermediate,O=[N+]([O-])c1ccc2oc3nccc(NCc4cccc(Cl)c4)c3c2c1
CHEMBL2437293,5.861,5.33,0.28,False,intermediate,N=c1scc(-c2ccccc2)n1CC(=O)N1CCN(c2ccccc2)CC1
CHEMBL4060727,5.844,6.19,0.353,False,intermediate,Nc1nc(NCCc2ccccc2)c2c(n1)[nH]c1ccc(O)cc12
CHEMBL3781439,5.837,5.6,0.313,False,intermediate,CN1CCN(c2ccc(NC(=O)c3c(Nc4cccc(Cl)c4)cc[nH]c3=O)cc2)CC1
CHEMBL4084090,5.836,5.9,0.337,False,intermediate,COc1cccc(CNc2nc(N)nc3[nH]c4ccc(O)cc4c23)c1
CHEMBL3780109,5.826,7.31,0.293,False,intermediate,CN1CCN(c2ccc(NC(=O)c3c(NCCc4ccccc4)cc[nH]c3=O)cc2)CC1
CHEMBL3736430,5.814,7.55,0.674,True,intermediate,COC1(CCN)CCN(c2nccc(Nc3cc4c(cn3)nc(C)n4C(C)C)n2)CC1
CHEMBL3736191,5.811,7.3,0.674,True,intermediate,COC1(CCO)CCN(c2nccc(Nc3cc4c(cn3)nc(C)n4C(C)C)n2)CC1
CHEMBL3781433,5.81,7.75,0.402,True,intermediate,CN1CCN(c2ccc(NC(=O)c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)cc2)CC1
CHEMBL4083162,5.788,6.96,0.288,False,intermediate,Cc1cc2[nH]c3nc(N)nc(NCc4ccc(Cl)cc4)c3c2cc1O
CHEMBL4083567,5.779,6.05,0.298,False,intermediate,Cc1cc2[nH]c3nc(N)nc(NCc4cccc(Cl)c4)c3c2cc1O
CHEMBL3780037,5.774,7.18,0.287,False,intermediate,CN1CCN(c2ccc(NC(=O)c3c(NCCc4cccc(Cl)c4)cc[nH]c3=O)cc2)CC1
CHEMBL306380,5.766,6.7,0.75,True,intermediate,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1
CHEMBL3780404,5.765,7.06,0.255,False,intermediate,COc1ccccc1Nc1cc[nH]c(=O)c1-c1nc2c(C(C)C)ccc(C)c2[nH]1
CHEMBL4091355,5.746,5.39,0.284,False,intermediate,COc1ccccc1CNc1nc(N)nc2[nH]c3cc(C)c(O)cc3c12
CHEMBL4094157,5.727,6.19,0.369,False,intermediate,Cc1cc2[nH]c3nc(N)nc(NCc4ccccc4)c3c2cc1O
CHEMBL3736210,5.681,7.28,0.48,True,intermediate,Cc1nc2cnc(Nc3ccnc(OCC(C)(C)S(C)(=O)=O)n3)cc2n1C(C)C
CHEMBL4102074,5.671,5.73,0.32,False,intermediate,COc1ccccc1CNc1nc(N)nc2[nH]c3ccc(O)cc3c12
CHEMBL4070420,5.671,6.54,0.319,False,intermediate,Nc1nc(NCc2cccc(Cl)c2)c2c(n1)[nH]c1ccc(O)cc12
CHEMBL4098682,5.659,5.25,0.265,False,intermediate,Cc1ccc(CNc2nc(N)nc3[nH]c4cc(C)c(O)cc4c23)cc1
CHEMBL3780841,5.655,7.24,0.282,False,intermediate,COc1ccccc1Nc1cc[nH]c(=O)c1-c1nc2c(C(C)C)cccc2[nH]1
CHEMBL3715932,5.603,6.16,0.366,False,intermediate,Nc1nc(NCc2ccccc2)c2c(n1)[nH]c1ccc(O)cc12
CHEMBL4061297,5.601,7.1,0.315,False,intermediate,Nc1nc(NCc2ccc(Cl)cc2)c2c(n1)[nH]c1ccc(O)cc12
CHEMBL3780709,5.531,6.46,0.293,False,intermediate,CN1CCN(c2ccc(NC(=O)c3c(NCc4ccccc4)cc[nH]c3=O)cc2)CC1
CHEMBL4090945,5.351,6.57,0.337,False,intermediate,Nc1nc(NCc2ccccc2)c2c(n1)[nH]c1cc(Cl)c(O)cc12
CHEMBL4069965,5.334,6.43,0.345,False,intermediate,Nc1nc(NCc2ccccc2)c2c(n1)[nH]c1cc(Br)c(O)cc12
CHEMBL77298,5.325,4.3,0.604,True,intermediate,COc1cc(C=C(C#N)C#N)cc(Br)c1O
CHEMBL3781817,5.321,6.54,0.239,False,intermediate,CN(C)c1ccc(NC(=O)c2c(NCCc3cccc(Cl)c3)cc[nH]c2=O)cc1
CHEMBL3780006,5.31,6.48,0.309,False,intermediate,O=C(Nc1ccccc1)c1c(NCCc2cccc(Cl)c2)cc[nH]c1=O
CHEMBL77869,5.276,4.17,0.533,True,intermediate,COc1cc(C=C(C#N)C#N)ccc1O
CHEMBL2372245,5.14,4.7,0.177,False,intermediate,CC(C)C[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c(F)c(F)c(O)c(F)c1F)C(=O)NCC(=O)O
CHEMBL307179,4.751,4.26,0.567,True,inactive,COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O
CHEMBL308134,4.559,4.31,0.589,True,inactive,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1
